project_no|year|project_name|project_description|sector|ward|zone|location|work_item|approval_status|approval_comment|amount_zmw|amount_type|implementation_status|source_url|source_page|notes
10|2024|CONSTRUCTION OF STAFF HOUSE, ABLUTION BLOCK AND SOLAR POWERED BOREHOLE AT SIABULEMBO PRIMARY SCHOOL||Education|Mushungu||||Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2024-CDF-approved-projects.pdf|1|
11|2024|INSTALLATION OF SOLAR POWERED WATER SYSTEM IN KAPULULIRA||Water|Kapululira||||Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2024-CDF-approved-projects.pdf|1|
12|2024|CONSTRUCTION OF 1X3 CRB, ABLUTION BLOCK, INSTALLATION AND EQUIPPING OF SOLAR POWERED BOREHOLES AT CHIPEPO COMMUNITY SCHOOL||Education|Chirundu West||||Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2024-CDF-approved-projects.pdf|1|
13|2024|PURCHASE OF DESKS||Education|||||Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2024-CDF-approved-projects.pdf|1|
14|2024|PURCHASE OF AMBULANCE||Health|||||Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2024-CDF-approved-projects.pdf|1|
15|2024|PROCUREMENT OF MOTORBIKES||Traditional Affairs|||||Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2024-CDF-approved-projects.pdf|1|
1|2025|Construction of Solar powered borehole|||Ibbwemunyama|Ibbwemunyama|Ibbwemunyama Rural Health Post||Approved list|Approved||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/2025-Approved-Community-Projects-.pdf|1|
2|2025|Community water project|||Chirundu West|Chibende and Lusumpuko|Chibende and Lusumpuko Communities||Approved list|Approved||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/2025-Approved-Community-Projects-.pdf|1|
3|2025|Completion of Maternity Wing|||Chirundu West|Chibende|Chibende||Approved list|Approved||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/2025-Approved-Community-Projects-.pdf|1|
4|2025|Construction of a 1x3 classroom block|||Kapululira|Farao|Farao Community School||Approved list|Approved||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/2025-Approved-Community-Projects-.pdf|1|
5|2025|Construction of water borne toilets and solar powered borehole|||Njame|Chibulameenda|||Approved list|Approved||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/2025-Approved-Community-Projects-.pdf|1|
6|2025|Construction of a Double Storey Classroom Block (3 classes per storey with Offices)|||Ngombe Illede|Kayuni|Proposed Ngombe Illede Sec. School||Approved list|Approved||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/2025-Approved-Community-Projects-.pdf|1|
7|2025|Upgrading of 10 hand pumps|||Lusitu|All zones|10 villages||Approved list|Approved||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/2025-Approved-Community-Projects-.pdf|1|
8|2025|Construction of a staff house, ablution block and solar powered borehole|||Kanyanga|Mangaba|Mangaba Community School||Approved list|Approved||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/2025-Approved-Community-Projects-.pdf|1|
9|2025|Upgrading of 20 boreholes|||Sikoongo|All zones|10 – Sikoongo zone, 04-Siachibubba zone and 06-T-Junction zone||Approved list|Approved||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/2025-Approved-Community-Projects-.pdf|1|
10|2025|Construction of a bridge|||Nkaddabwe|Velu|Velu river||Approved list|Approved||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/2025-Approved-Community-Projects-.pdf|1|
11|2025|Procurement of a tipper truck, motor grader and drilling rig|||Chirundu Central|All zones|All zones||Approved with scope restriction|Approved procurement of Motor grader||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/2025-Approved-Community-Projects-.pdf|1|Only procurement of the motor grader is approved in the source comment.
12|2025|Construction of sports facility phase 2|||Chirundu Central|All zones|All zones||Approved list|Approved||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/2025-Approved-Community-Projects-.pdf|1|
13|2025|Construction of a clinic|||Mushungu|Simaundu|Simaundu||Approved list|Approved||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/2025-Approved-Community-Projects-.pdf|1|
14|2025|Construction of a 1x3 classroom block|||Musaya|Malengo|Naloba Community School||Approved list|Approved||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/2025-Approved-Community-Projects-.pdf|1|
1|2026|Construction of 1x3 CRB, 1 Staff house, A solar powered borehole and Maternity Annex|||Ibbwemunyama|Hachipilika|Hachipilika|2 Bedroom Staff House|Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/05/2026-Approved-CDF-Community-Projects.pdf|1|
